"","Outcomes","Labels","Coeff","P_val","CI_lower","CI_upper","fill"
"1","hv025","","0.128268890949976","0.0328067018308888","0.00991020224045803","0.245530491168247","Senegal 2019"
"2","hv206","Has electricity","-0.199664104643006","0.000607529340577731","-0.313583883110533","-0.0852351889589495","Senegal 2019"
"3","hv207","Has radio","-0.384332034053811","3.88803387750365e-11","-0.498109493960525","-0.27008309961353","Senegal 2019"
"4","hv208","Has television","-0.159758808427603","0.00551255380871903","-0.27253560748173","-0.0468536900463235","Senegal 2019"
"5","hv209","Has refrigerator","-0.417004092538965","4.5048533815871e-09","-0.558065572562368","-0.279229083468286","Senegal 2019"
"6","hv210","Has bicycle","0.172892517634916","0.00959177841509814","0.040868237255823","0.302597389557887","Senegal 2019"
"7","hv211","Has motorcycle/scooter","0.0459161273658864","0.495146751556747","-0.0872923870633284","0.176647531353598","Senegal 2019"
"8","hv212","Has car/truck","-0.465517037147228","0.000246166583870485","-0.72284835067222","-0.224356073111987","Senegal 2019"
"9","hv227","Has mosquito bed net for sleeping","0.244395150250928","0.0153513384471913","0.0511111280234457","0.446793931364476","Senegal 2019"
"10","hv221","Has telephone (land-line)","-0.0700939643132878","0.750382221763735","-0.528837117628509","0.338798265552113","Senegal 2019"
"11","hv243a","Has mobile telephone","-0.517086163917583","0.000406534705768717","-0.794842922156081","-0.220512278613585","Senegal 2019"
"12","hv243e","Has a computer","-0.0871784823337498","0.38142050233336","-0.286848313694294","0.103904328633798","Senegal 2019"
"13","hv121","","0.147461621853275","0.0223088381627185","0.021357357936576","0.274366567386103","Senegal 2019"
"14","hv201","","-0.320201411429223","5.92136564526308e-08","-0.435597773358697","-0.204017170883488","Senegal 2019"
"15","hv205","","-0.00309257723789705","0.968450993034789","-0.154234398935681","0.15241912222592","Senegal 2019"
"16","hc3","Child's height in centimeters (1 decimal)","-5.32075195832258","0.224883331882254","-13.9142648412779","3.27276092463277","Senegal 2019"
"17","hc2","Child's weight in kilograms (1 decimal)","-2.28934212134829","0.119993266193452","-5.17542320418476","0.596738961488176","Senegal 2019"
"34","hv106","highest educational level attained","0.148672363","0.015667063","0.028091865","0.269252862","Senegal 2019"
"35","hv270","household wealth index","-0.219346076","1.29e-05","-0.317913952","-0.1207782","Senegal 2019"
"36",NA,NA,NA,NA,NA,NA,NA
