Coeff,CI_lower,CI_upper,Names,Labels,data
-0.560179532,-0.661499151,-0.458162944,hv243a,has mobile telephone,Rwanda 2019
-0.517086164,-0.794842922,-0.220512279,hv243a,has mobile telephone,Senegal 2019
-0.133570816,0.161744711,-0.316287371,hv243a,has mobile telephone,Colombia 2015
-0.452329952,-0.538730809,-0.365929095,hv270,household wealth index,Rwanda 2019
-0.219346076,-0.317913952,-0.1207782,hv270,household wealth index,Senegal 2019
-0.035443045,0.325362242,-0.106075693,hv270,household wealth index,Colombia 2015
-0.444687527,-0.547398952,-0.343029962,hv207,has radio,Rwanda 2019
-0.384332034,-0.498109494,-0.2700831,hv207,has radio,Senegal 2019
-0.110980259,0.009832312,-0.194939981,hv207,has radio,Colombia 2015
-0.379852638,-0.477252713,-0.282020827,hv227,has mosquito bed net for sleeping,Rwanda 2019
0.24439515,0.051111128,0.446793931,hv227,has mosquito bed net for sleeping,Senegal 2019
-0.416562562,-0.54837121,-0.284753915,hv106,highest educational level attained,Rwanda 2019
0.14867236,0.02809186,0.26925286,hv106,highest educational level attained,Senegal 2019
-0.336522727,1.83E-09,-0.44623497,hv106,highest educational level attained,Colombia 2015
-0.691230318,-1.205058673,-0.244280456,hv212,has car/truck,Rwanda 2019
-0.465517037,-0.722848351,-0.224356073,hv212,has car/truck,Senegal 2019
-0.610919127,4.55E-13,-0.780144419,hv212,has car/truck,Colombia 2015
-0.429020063,-0.579373168,-0.283416513,hv210,has bicycle,Rwanda 2019
0.172892518,0.040868237,0.30259739,hv210,has bicycle,Senegal 2019
-0.214369813,9.51E-07,-0.300478668,hv210,has bicycle,Colombia 2015
-0.397927879,-0.531819761,-0.26261111,hv121,school attendance,Rwanda 2019
0.147461622,0.021357358,0.274366567,hv121,school attendance,Senegal 2019
-0.33839781,3.58E-06,-0.480667309,hv121,school attendance,Colombia 2015
-0.300205922,-0.398612659,-0.202415642,hv206,has electricity,Rwanda 2019
-0.199664105,-0.313583883,-0.085235189,hv206,has electricity,Senegal 2019
0.205291456,0.034027193,0.020157293,hv206,has electricity,Colombia 2015
0.029553865,-0.226025926,0.270182429,hv243e,has a computer,Rwanda 2019
-0.087178482,-0.286848314,0.103904329,hv243e,has a computer,Senegal 2019
-0.316323545,3.21E-12,-0.405809907,hv243e,has a computer,Colombia 2015
-0.435459778,-0.81727489,-0.090243962,hv211,has motorcycle/scooter,Rwanda 2019
0.045916127,-0.087292387,0.176647531,hv211,has motorcycle/scooter,Senegal 2019
-0.285110808,2.34E-10,-0.373787898,hv211,has motorcycle/scooter,Colombia 2015
-0.12092496,-0.218161475,-0.024137764,hv201,has piped or tube water,Rwanda 2019
-0.320201411,-0.435597773,-0.204017171,hv201,has piped or tube water,Senegal 2019
0.092195512,0.034504104,0.007075302,hv201,has piped or tube water,Colombia 2015
-0.287867439,-0.678149653,0.065128471,hv209,has refrigerator,Rwanda 2019
-0.417004093,-0.558065573,-0.279229083,hv209,has refrigerator,Senegal 2019
-0.008435662,0.861581801,-0.102585266,hv209,has refrigerator,Colombia 2015
-0.345680203,-0.499768678,-0.196619521,hv208,has television,Rwanda 2019
-0.159758808,-0.272535607,-0.04685369,hv208,has television,Senegal 2019
-0.071676151,0.284629387,-0.201057151,hv208,has television,Colombia 2015
-12.42047992,-21.59695368,-3.244006158,hc3,child's height (cm),Rwanda 2019
-5.320751958,-13.91426484,3.272760925,hc3,child's height (cm),Senegal 2019
-6.57432855,0.006671187,-11.32392066,hc3,child's height (cm),Colombia 2010
-0.017192847,-0.14122701,0.104299723,hv025,lives in urban area,Rwanda 2019
0.128268891,0.009910202,0.245530491,hv025,lives in urban area,Senegal 2019
0.137721519,0.002510089,0.048902204,hv025,lives in urban area,Colombia 2015
-2.064153532,-4.820323926,0.692016862,hc53,child's hemoglobin level (g/dl),Rwanda 2019
-0.265776727,-0.527119455,0.013001633,hv205,has flush or pit toilet,Rwanda 2019
-0.003092577,-0.154234399,0.152419122,hv205,has flush or pit toilet,Senegal 2019
0.089702066,0.178854941,-0.039164324,hv205,has flush or pit toilet,Colombia 2015
-0.295597304,-1.350574006,0.521545601,hv221,has telephone (land-line),Rwanda 2019
-0.070093964,-0.528837118,0.338798266,hv221,has telephone (land-line),Senegal 2019
-0.118617326,0.029017972,-0.226215064,hv221,has telephone (land-line),Colombia 2015
-2.00115324,-5.416137882,1.413831402,hc2,child's weight (kg),Rwanda 2019
-2.289342121,-5.175423204,0.596738961,hc2,child's weight (kg),Senegal 2019
-0.801052206,0.456028383,-2.907436704,hc2,child's weight (kg),Colombia 2010
0.588278049,-0.652927059,1.560848984,hml32,has malaria,Rwanda 2019
0.050197696,-0.076570919,0.174296862,hv243b,has watch,Rwanda 2019
0.089404002,-0.391258364,0.550406536,hc57,has anemia (child),Rwanda 2019
